Student Name,Student Email,Number of Selections,Section,Industry,Geography,Degree Program
Avery Miller,avery.miller@hbs.edu,0,H,Consulting,South America,MA/MBA
Alex Brown,alex.brown@hbs.edu,0,C,Consulting,Midwest US,MA/MBA
Taylor Davis,taylor.davis@hbs.edu,0,A,Consulting,Asia,JD/MBA
Taylor Williams,taylor.williams@hbs.edu,0,E,Healthcare,Northeast US,JD/MBA
Casey Williams,casey.williams@student.harvard.edu,0,F,Energy,Middle East,MA/MBA
Quinn Johnson,quinn.johnson@student.harvard.edu,0,C,Technology,Northeast US,MS/MBA
Quinn Rodriguez,quinn.rodriguez@mba2025.harvard.edu,0,B,Consulting,Midwest US,JD/MBA
Taylor Miller,taylor.miller@hbs.edu,0,G,Real Estate,South US,JD/MBA
Avery Smith,avery.smith@hbs.edu,0,H,Education,Northeast US,MBA
Jamie Rodriguez,jamie.rodriguez@student.harvard.edu,0,J,Technology,West US,JD/MBA
Alex Brown,alex.brown@student.harvard.edu,0,I,Education,Europe,MS/MBA
Avery Davis,avery.davis@student.harvard.edu,0,B,Technology,West US,JD/MBA
Riley Garcia,riley.garcia@hbs.edu,0,B,Technology,Australia,MD/MBA
Jordan Williams,jordan.williams@student.harvard.edu,0,D,Retail,Midwest US,MA/MBA
Casey Davis,casey.davis@hbs.edu,0,H,Real Estate,Middle East,MBA
Casey Jones,casey.jones@hbs.edu,0,H,Healthcare,Europe,MD/MBA
Morgan Brown,morgan.brown@mba2025.harvard.edu,0,A,Non-Profit,Middle East,MS/MBA
Riley Miller,riley.miller@student.harvard.edu,0,A,Education,Middle East,MBA
Quinn Garcia,quinn.garcia@mba2025.harvard.edu,0,D,Energy,Asia,MBA
Riley Martinez,riley.martinez@mba2025.harvard.edu,0,F,Consulting,Australia,MS/MBA
Avery Williams,avery.williams@mba2025.harvard.edu,0,C,Non-Profit,Africa,MBA
Quinn Johnson,quinn.johnson@hbs.edu,0,I,Non-Profit,South US,JD/MBA
Avery Williams,avery.williams@student.harvard.edu,0,B,Education,Northeast US,MS/MBA
Riley Garcia,riley.garcia@mba2025.harvard.edu,0,J,Retail,West US,MBA
Avery Martinez,avery.martinez@mba2025.harvard.edu,0,A,Retail,Australia,MD/MBA
Alex Johnson,alex.johnson@mba2025.harvard.edu,0,J,Education,Middle East,MD/MBA
Riley Smith,riley.smith@hbs.edu,0,J,Healthcare,Middle East,MA/MBA
Jamie Johnson,jamie.johnson@student.harvard.edu,0,I,Healthcare,Asia,MBA
Jamie Jones,jamie.jones@student.harvard.edu,0,F,Energy,Northeast US,MBA
Jamie Garcia,jamie.garcia@hbs.edu,0,E,Energy,Australia,MD/MBA
Jamie Martinez,jamie.martinez@mba2025.harvard.edu,0,C,Energy,South US,MD/MBA
Avery Miller,avery.miller@hbs.edu,0,G,Retail,Europe,MA/MBA
Taylor Williams,taylor.williams@hbs.edu,0,G,Healthcare,Europe,JD/MBA
Taylor Johnson,taylor.johnson@hbs.edu,0,F,Finance,Africa,JD/MBA
Quinn Williams,quinn.williams@student.harvard.edu,0,F,Education,West US,MA/MBA
Alex Williams,alex.williams@hbs.edu,0,F,Real Estate,Middle East,MS/MBA
Jamie Williams,jamie.williams@hbs.edu,0,E,Finance,Asia,MS/MBA
Jamie Rodriguez,jamie.rodriguez@hbs.edu,0,F,Technology,Africa,JD/MBA
Drew Smith,drew.smith@mba2025.harvard.edu,0,G,Education,South US,MD/MBA
Taylor Johnson,taylor.johnson@mba2025.harvard.edu,0,E,Finance,West US,MD/MBA
Jamie Miller,jamie.miller@student.harvard.edu,0,C,Real Estate,Africa,MBA
Drew Garcia,drew.garcia@mba2025.harvard.edu,0,H,Real Estate,Africa,MS/MBA
Taylor Brown,taylor.brown@mba2025.harvard.edu,0,B,Technology,Asia,MA/MBA
